track_name,artist,album,year
Nastaran,Mohammad Nouri,Jaane Maryam - Persian Music,1959
Voyagers - Improvisation 12,R. Carlos Nakai,Voyagers,1945
Chega De Sausade,Elizete Cardoso,bThats Amore (The Best Of Classic Lovesongs From Old 50s),1940
Tumba Randy,Anthony Blea Y Su Charanga,Virgen De La Caridad,2004
La Traviata - highlights (1990 Digital Remaster): Ah_ non pi\xc3\xb9 (Alfredo/Violetta),Maria Callas/Giuseppe di Stefano/Ettore Bastianini/Silvana Zanolli/Luisa Mandelli/Giuseppe Zampieri/Arturo La Porta/Antonio Zerbini/Silvio Maionica/Coro e Orchestra del Teatro alla Scala_ Milano/Carlo Maria Giulini,Verdi - La Traviata (Highlights),1976
This Is A Gang,bCMW - Comptons Most Wanted,Music To Driveby,1992
Purple Pygmies,Walter Ego,Eclipse,1998
G\xc3\xb6zlerinde H\xc3\xbcz\xc3\xbcn,Tayfun,Sessiz  Bir Kelebegin R\xc3\xbcyalari Ve Danslari,1981
Mathilda,Jay Randall,Cajun Jay,1981
Hey Joe,Carl Smith,Replay: Carl Smith,1993
Ai Ji Mei Gui 1000 Da,Sandy Lam,Faces And Places,1961
Nudez,Ghorwane,Vana-Va-Ndota,1934
Lazy Day,Herb Alpert And The Tijuana Brass,Lost Treasures: Rare And Unreleased,1995
My God  (Audio Adrenaline Album Version),Audio Adrenaline,Audio Adrenaline,1992
Green And Blue,Deep Forest,Comparsa,1997
The Possibilities of Loving You,Francis Dunnery,Welcome To The Wild Country,1991
Antes (Salsa Version),Obie Bermudez,Confesiones,2003
Puritania,Dimmu Borgir,Alive in Torment,2001
Sans ton amour,Bonita & Jerry Cormier,En toute complicit\xc3\xa9,1991
I Am The Curse (Duties Demo),Special Duties,77 In 97,1960
Tropical Nights,Clarence Profit,Clarence Profit,1931
Pound a Weed,Mikey Dread,Life is a Stage,1997
baby Wayo,African Rhythm Messengers,Bottom Belle,1996
San Agustin,Los Amigos Invisibles,Superpop Venezuela,1973
Popovic,Mando Diao,bLong Before Rock n Roll,2006
This World Is Not My Home,James Blackwood with The Light Crust Doughboys,King of the Gospel Singers,2002
Boom-Shack-A-Lack (12 Mmix / Bonus Tra),Junior Reid,Boom-Shack-A-Lack,1998
bIve Got You Under My Skin,Louis Prima And Keely Smith,bJump_ Jive an Wail: The Essential Louis Prima,1960
The Ram And The Scorpio,Alphonse Mouzon,In Search Of A Dream,1977
Tango de la Flor (Album Version),Lole y Manuel,Alba Molina,1957
bEverybodys boppin,Ben Sidran,Live at FIP,1979
We Are One Light,Aeoliah,Echoes Of Tomorrow,1947
Ode To Billie Joe  (Live @ Fillmore West),King Curtis,The Platinum Collection,2007
bIm Only Out For One Thang (Explicit) (Feat. Flavor Flav),Ice Cube Featuring Flavor Flav,bAmeriKKKas Most Wanted (Explicit),1980
bMichael & His Slipper Tree 93,The Equals,bMichael & His Slipper Tree 93,1944
Swan Lake,Brazilian Tropical Orchestra,Plays Boleros,1964
LAIVAMATKA WC:SS\xc3\x84,M.A. Numminen,Ollaan Elaimia,1947
bIm Not Afraid When Im With You,Ken Yokoyama,The Cost Of My Freedom,1930
Mighty Army Band,Gold City,Signed Sealed Delivered,1940
Swinging On A Star,Big Dee Irwin,Christmas With The Stars,1990
You Got Me (The Juan Maclean Dub),VHS Or Beta,You Got Me,2006
Hey Joe,Carl Smith,Honky Tonk Rockabillies_ Volume 1,1993
Circle Round The Moon,Charley Patton,Complete Recordings_ CD C,1990
A Fistful Of Dollars (1994 Digital Remaster),Babe Ruth,Grand Slam - The Best Of Babe Ruth,2001
Essa Marie,Samba Trio,Tristeza,1932
Playboy Foundation,Tammy Pescatelli,It Is What It Is,1980
Follow Me Up To Carlow,Planxty,Planxty,1973
Lies,Pennywise,Fuse_ The,2005
In My Bed,Amy Winehouse,Frank,2003
Boomerang (Reprise),Cirrus,Counterfeit,2002
Hispaniola A,Pheeroan Aklaff,Drum Set Variations,1960
Down On My Knees,Ayo,Joyful,2006
The Imperial March from The Empire Strikes Back,John Williams,John Williams - Greatest Hits 1969-1999,1987
Mr Big Man,Junior Reid,Cant Stop Us Now,2010
Morning Glow,Michael Jackson,Gold,1973
The Wedding Samba,Edmundo Ros,Underneath The Arches - 20 British Memories,1969
Supreme Girl,The Sterns,Sinners Stick Together,2006
Matilda Mother (Stereo) (2007 Remaster),Pink Floyd,The Piper At The Gates Of Dawn,1967
Slavinka,bEdgar De Lest,Les vacances,2002
Caro! (Colline/Rodolfo/Schaunard/Children/Townspeople/Musetta) (1998 Digital Remaster),bAlfredo Kraus/Paul Plishka/Matteo Manuguerra/Sherrill Milnes/Trinity Boys Choir/Ambrosian Opera Chorus/National Philharmonic Orchestra/James Levine,Puccini: La Boh\xc3\xa8me - Highlights,1974
El Greco: Movement III,Vangelis,El Greco,1998
Youth Club Dance (Demo),The Cortinas,GBH Demos 1977,1963
Party,Rodney O & Joe Cooley,Three The Hard Way,2002
Baila Girl_ Todo Hombre Llorando Por Ti,Daddy Yankee,Los Homerun-es,2003
Little Latin Lupe Lu,Righteous Brothers,The Collection,1975
Rain Down On Me,Kane,So Glad You Made It,2001
bYoull Know Where Your Plane Is... (Part 4),Why?,Split EP!,1956
Pi Jiu Pao Pao (Beer Bubbles),Steve Chou,Steve Chou Transfer,1998
Stinky Breath,Blingtones,Helium crazy ringtones,1942
African Typic Collection,Sam Fan Thomas,The African Typic Collection,1989
Down the Line,Gregory Isaacs,Hold Tight,1979
bLa maison ou jai grandi,Bonita & Jerry Cormier,En toute complicit\xc3\xa9,1942
Tired Of You Clowning,Sunnyland Slim,bSlims Shout,1990
Anywhere Anytime,Sara Melson,Dirty Mind,2008
Hallelujah [Club Mix - Remastered version],Happy Mondays,100 Chillout Classics,1969
No Te Apartes De Mi,Yahir,No te apartes de mi,1940
Corcovado,Vince Guaraldi,The Latin Side Of Vince Guaraldi,1964
Red Socks Pugie,Foals,Antidotes,2008
War Of The Worlds,The London Theatre Orchestra,Sci-Fi Themes,1971
bAint No Sunshine,Michael Jackson,Love Songs,1972
I Want You (Album Version),Faith Hill,Fireflies,2005
Sarah Palin {I Wanna Lay Pipe} [Remix],John Brown,John Brown Or Die: A Revival You Can Believe In,1985
Going Back To Memphis,Memphis Jug Band,Jug Band Waltz,2001
Bumbo Red,Capleton,The Very Best of Capleton Gold,1987
bCleos Mood,James Taylor Quartet,bDont Mess With Mr T,2007
Test 72,Mush,Test EP Vol 1,2002
Deportees,The Gaskets,Loose Change,1930
Irish Medley - Jigs,Jean Carnigan,French Canadian Irish And Scottish Fiddle Music,1963
Why Should I Cry For You,Mariano Yanani,Babies Go Sting,2005
Bang! Bang!,The Knux,Bang! Bang!,2008
bIts Different - Original,Leroy Hutson,Leroy Hutson Selected Hits Vol. 2,1970
Kickstart My Heart (Album Version),Between The Buried And Me,The Anatomy Of,2006
You Beat The Hell Outta Me,The Motors,Approved By The Motors,1977
Oye,Gertrudis,500,2005
Parola di faliero,Inoki,Nobilt\xc3\xa0 di strada,1956
Climax,Loop Guru,Butterfly Dawn,2010
Menuet in the Name of Haydn,Alan Feinberg,Music To My Ears_ A Collection of Music for Children of All Ages - Faur\xc3\xa9_ Chopin_ Saint-Sa\xc3\xabns_ Schumann_ Borodin_ Bach_ etc,1995
Las Hermanas Granaditas,Los Nakos,68/98,1990
Mik\xc3\xa4 mun p\xc3\xa4\xc3\xa4ss\xc3\xa4 nykii,Murskahumppa,Murskapunkkia,1945
bDans cette nuit jai envie de me perdre,Didier Fran\xc3\xa7ois,Sjansons patin\xc3\xa9es,1947
I Applaud You  (LP Version),Liquid Gang,Sunshine,2010
bCant Find My Sadie,Checkers,Flame In My Heart,2008
Sweet Little Sixteen,Vince Taylor,bLe Rock CEst Ca,1963
Midnight,The Refreshments,Rock On,1966
Dame Tu Carino,Ray Barretto,Salsa Legende - Best of Ray Barretto_ vol. 2,1967
Rain Keeps Falling Down,Jimmy Witherspoon,bJimmy Witherspoon & Panama Francis Savoy Sultans,1950
Behind The Line Of Grace,Karen Peck & New River,Journey of Joy,1956
Love Alone,Kostis Maraveyas,Radiopirate,1936
Cuenta Conmigo,Mar\xc3\xada,Besos,1948
We Played A Game,Adolph Hofner,South Texas Swing,1952
Il rosso,Word,Matumago X Press,1977
Lonley,Elva Hsiao,Never Look Back,1945
Happy,Carolyn Arends,Sieze The Day And Other Stories,1941
El Amor De Mi Vida,Israel & Moises,Cantan Al Amor Y La Amistad,1939
Parasitic Twins,The Dillinger Escape Plan,Option Paralysis,2010
Concerto in C major_ BWV 594 (after Vivaldi Op.7 No.5) (2007 Digital Remaster): I. 1st Movement,Lionel Rogg,bJ. S. Bach: The Art of Fugue & Vivaldi Solo Organ Concertos,1984
Te Fuiste En Abril,Palito Ortega,20 Secretos de Amor - Palito Ortega,1956
Dream State,Paul Taylor,Hypnotic,1967
bIt Aint A Problem,Rick Ross / Carol City Cartel,Port Of Miami,1949
Yellow Brick Road,Jack Off Jill,Humid Teenage Mediocrity,1994
Albo,Hevia,Obsession,2007
Where Does Rosie Go?,Kenny Rogers,The Legendary Kenny Rogers,2003
Ihr hated nur (P-Dog Remix),Hecklah & Coch,\xc3\x9cber alles in der Welt / Ihr hated nur (Remix),1940
Fuckaz,The Bug Featuring Spaceape,London Zoo,2008
Kyotronics,Erik Tronic,Eric Release (2041),1993
bYa dlabus,Fred Merpol,En vrai,1973
Rock Tha Party,Bombay Rockers,Introducing&,2004
A Puro Dolor,Roberto Perera,Sensual,2002
Castle of K\x19oF\x19W,Koordinate Of Wonders,Irreverse,2006
The Phantom Of The Opera/Wishing You Were Somehow Here Again,Montserrat Caball\xc3\xa9,Hijo De La Luna,1994
bVine Paechar Candela,Ray Barretto,Salsa Legende - Best of Ray Barretto_ vol. 2,1971
Peace With Myself,Nestor Torres,Dances_ Prayers_ & Meditations For Peace,1959
When Love Dies,Marlene Dietrich,Marlene Dietrich,1991
Politrix,Beenie Man,Concept Of Life,2006
Soca Mi Nice,Mongo Santamaria,Brazilian Sunset,1938
Never Know What You Can Do (Give It A Try) - Original,Leroy Hutson,Leroy Hutson Selected Hits Vol. 2,1968
Poema do semba,Paulo Flores,Live - Ao vivo,1956
Everything I Do from Robin Hood,John Williams,John Williams Plays the Movies,1992
Carol Of The Bells (Instramental Featuring The Budapest Pops Orchestra),Greater Vision,A Greater Vision Christmas,1930
Train Buffer,Aesop Rock,Urban Renewal Program - Supplement 1.5,2002
Going Under,Devo,Duty Now For The Future/New Traditionalists,1981
Skit,Rakim,The 18th Letter,1997
Shadows,Styles P & The Evil Genius DJ Green Lantern,The Green Ghost Project (Clean),1943
Tables Turn,Ann Nesby,This Is Love,1998
Heal (The Separation) [PM Dawn Alt. Lead Mix],The Shamen,Heal (The Separation),1996
La petite boite en fer,Mademoiselle Sane,La petite boite en fer,1980
Rock The House (Explicit),Gorillaz,Gorillaz,2001
Carol of the Bells (Album Version),Danny Wright,An Intimate Christmas,1931
The Invasion (Aka Black Wa Da Da),Burning Spear,Chant Down Babylon: The Island Anthology,1972
Jesus_ Lover Of My Soul (Bonus Stereo Trax),Passion,Passion: Oneday Live With Road To Oneday Bonus Trax (Stereo Accompaniment Tracks),1939
Motivator,Midwest Product,World Series Of Love,2003
IV,From Autumn To Ashes,bToo Bad Youre Beautiful,2002
East West,Thomas Battenstein,Light & Colours,1994
Gallows (Album Version),Atreyu,Congregation of the Damned,2009
Ay Nare Nare,Grup Knar,Anadolu Ermeni Halk M\xc3\xbczigi,1987
Breath Of Fresh Air,Warrior King,Virtuous Woman,2002
You Know How I Do [Live From Bamboozle],Taking Back Sunday,Live From Bamboozle 2009,1969
La chanson des gen\xc3\xaats,Jean Lumi\xc3\xa8re,bBest of 40s and 50s_ Vol. 131,1952
Destiny,Buju Banton,Inspirational Vibes,1997
La Nuit,Patrick Eudeline,Mauvaise Etoile,2005
Io Vivo,Piero Esteriore,Io Vivo,2010
Caf\xc3\xa9 Sarajevo,Lara,Petit Coeur Assassin,2007
She Left Me A Mule ,Sonny Landreth,Voices Of Americana: Sonny Landreth,1999
Fanfara,Save As,Chillhouse Planet_ Vol. 2,1951
To Go Home,Daniel Johnston,The What Of Whom,1982
bGet em,Redman / Saukrates / Icadon,Red Gone Wild,2006
High Horse,Workhorse,Beasts of Burden,2007
Calm Down Dad,Helen Love,Calm Down Dad,1930
Dragonfly,Connemara Stone Company,Dragonfly - Live at Folk im Schlosshof,1974
Romanza,Hard Romantic,Sincerely_,1963
Tu Vuo_ Fa_ L_ Americano,Rita Chiarelli,The Italian Sessions,1943
September Song,The Chico Hamilton Quintet With Fred Katz_ Paul Horn_ John Pisano_ Carson Smith,Classical Katz,1997
Tu Quieres Volver,Gipsy Kings,Greatest Hits,1987
Intro/Whatcha Gonna Do about It,Humble Pie,The Atlanta Years,1954
Stop That Thing,Sleepy John Estes,Legendary Country Blues Artists - CD A,1935
Duh Duh Da,Lidell Townsell,The Next Generation,1943
bDrumroll (Were All Thirsty),P.O.S,Never Better,1988
Intro,DJ Clue / P. Diddy,The Professional,1998
Bodyfly (Dynamix original version),Dynamix,Tribal Sunrise Volume 4,1999
Brampton To Roadhead,Gathering,Gathering,2001
Bigbigkiss,Helen Love,Love And Glitter_ Hot Days And Musik,2000
Cable,Languis,Split,1973
Walking To Jerusalem,Tracy Byrd,Love Lessons,1996
Q1.1 Edit,Basic Channel,BCD,1995
You\x19re nobody till somebody loves you,Mills Brothers,Paper Doll,1944
bShe Dont Belong To You,Sue Foley,Ten Days In November,1998
Here You Come Again (LP Version),Barry Mann,Soul & Inspiration,1955
bBlowin In the Wind,Ben Sidran,Dylan Different,2009
Let It All Go,Krayzie Bone,Lyrical Paraphernalia,1940
Hummingbird,Jimmy Page,Outrider,1988
Departure / End Title (Love Theme From Night Of Dark Shadows),Dark Shadows,House Of Dark Shadows and Night Of Dark Shadows,1937
Brother Can You Spare A Dime (Album Version),Jim Kweskin with Samoa Wilson,Now And Again,1961
This Is For My Bitches,Jim Jones featuring Oshy,Pray IV Reign,2009
The Sound Of Music - [High Wycombe Town Hall Live 13 July 1979] (Sound Check),Joy Division,bStill [Collectors Edition],1970
Pete\s Crusade (12 Version) (2006 Digital Remaster),Light Of The World,Anthology: Addicted To Funk,1945
Canon In D Major (J. Pachelbel),Mariano Yanani,Babies Go To Sleep,1988
Friends Of All Races,Rocky Whatule,Comedy Ping-Pong,1988
non-existent track (part one: why don\t you fuckin\ remember anything ?),Aphasia,Brain Patch Error,2001
Love Shines Through  (Dream Album Version),Michelle Tumes,Dream,2000
Suck My Blood,Beherit,Engram,2009
Jane 5,EPMD,Back In Business,1997
White Jetta,Casiotone For The Painfully Alone,Vs. Children,2009
Need To Shout,Architecture In Helsinki,In Case We Die,2005
Fall Line,Jack Johnson and Friends / Matt Costa,Talk Of The Town,2003
Sista,City High,City High,2001
Own Me,The Frequency,THE FREQUENCY,2004
Someday (I Will Understand),Britney Spears,Someday (I Will Understand),2005
Me vuelves loco,Caballo Dorado,No dejes de bailar,1933
Morghe Eshgh,Mohammad Nouri,Paeez - Persian Music,1998
bDont It (make Your Troubles Seem Small) (Album Version),Soul Asylum,Made To Be Broken,1986
Das ist mein Viertel,Eko Fresh feat. Capkekz,Hart(z) IV,1988
The Other Side Of That Hill,Barbara Fairchild,He Kept On Loving Me,1949
bWatch The Sunrise [Live at Lafayettes Music Room_ Memphis_ TN_ January 1973],Big Star,Keep An Eye On The Sky,2000
Elementro,TEN MADISON,From Lust To Dust,2003
Kangaroo Blues,Moon Mullican,bMoons Tune,1989
Tem Do de Mim (Live At El Matador_ San Francisco),Sergio Mendes,In Person At El Matador,1983
Arise_ My Love (Song Of Solomon),Michael Card,The Way Of Wisdom,1999
Salvation,Chroma Key,Graveyard Mountain Home,2004
bIn Fates Hands (Album Version),The Red Jumpsuit Apparatus,bDont You Fake It,2006
Shame,Anna Abreu,Anna Abreu,2007
Listen,Mykill Miers,The Trials Of Jo,1965
Till There Was You (John Creamer & Stephane K Remix),Rachael Starr,Till There Was You,2005
Two Guitars Shuffle (take 1),Lonnie Brooks,Sweet Home Chicago (Paris 1975) (Blues Reference),1943
I Love No One But You,Don Gibson,Lonesome Number One,1991
What If I Forget The Champagne,Stanley Clarke,East River Drive,1998
A hist\xc3\xb3ria do inc\xc3\xaandio do jequitib\xc3\xa1 de Carangola (Part 1),H\xc3\xa9lio Ziskind,O Gigante Da Floresta,1972
Meteor Of War (Album Version),Rancid,Rancid,1949
Nobody In Mind,Joe Turner,bDiggin Deeper Volume 3,2009
Your Love (Got a Hold of Me) instrumental,George Nooks,George Nooks Sings Dennis Brown,1996
bKaloobafak [Im Confessin (That I Love You)] (LP Version),Jim Kweskin,Garden Of Joy,1973
Wo You Jin Ri,Justin,Justin One Good Show Concert,1930
All Is One,Atman,97 | 07,1998
Run A Mile,The Pineapple Thief,Little Man,2006
bCranford: Deborahs Vigil,Carl Davis,DAVIS_ C.: Cranford (Davis),1971
Dragonfly,Diesel Boy,Venus Envy,1998
4tx.31,S.U.P,The Cube 1998,1993
Oh No,Daniel Johnston,Retired Boxer,1984
32 Lines (Album Version),Sophie B. Hawkins,Timbre,1999
Levallois Monte Carlo,Georges Parys,Le Cinema De Michel Audiard,1986
Question Authority,Circle Jerks,Wild In the Streets,1982
Loup Garou,Deville_ Willy,Loup Garou,1996
The Taking Of Angelique,Dark Shadows,House Of Dark Shadows and Night Of Dark Shadows,1950
So Many Reasons,Jake Hess,Tribute To Jake Hess,2004
Anyone Who Had A Heart,Cal Tjader,Sounds Out Burt Bacharach,2003
Xin Bu Liao Qing,Fiona Sit,bIts My Day,2001
Fortunate Fool,Jack Johnson,Brushfire Fairytales,2000
Trade It All PT2  (Early Fade Amended Version- Bonus Track) (featuring P. Diddy & Jagged Edge),Fabolous,Street Dreams,2003
bIll Be Glad,Elvin Bishop,bGettin My Groove Back,2005
Wings Off Flies (2009 Digital Remaster),Nick Cave & The Bad Seeds,From Her To Eternity (2009 Digital Remaster),1953
Nothing Matters Anymore,Showbread,The Fear Of God,2009
Working On The Highway,Bruce Springsteen,Born In The U.S.A.,1984
The Pig,Showbread,Nervosa,2008
bGayas Dream,The Gathering,Always,1951
Maracaia,Timbalada,Alegria Original,2006
Chu Hsin,B.A.D.,All i,1963
Sommarens sista m\xc3\xa5s,Arne Weise,Minnen _ dr\xc3\xb6mmar och lite till,2002
Ya Basta,Jay P\xc3\xa9rez,Tesoros De Colecci\xc3\xb3n,1933
DEU470956112,Marty Robbins,Country Style U.S.A. with Ferlin Husky_ Wilburn Brothers_ Benny Martin_ Marty Robbins,1944
Wang Wang Blues,Hank Penny,Hank Penny: Crazy Rhythm: The Standard Transcriptions,2007
Radio Jay,Mario Rosenstock,Gift Grub: The Best Of 2004,1970
There Are More Questions Than Answers,Johnny Nash,I Can See Clearly Now,1972
Suba,Jason Miles,Miles To Miles,1972
Lebaran,Bimbo,Semoga Jalan Dilapangkan Tuhan,2004
Siri,Samba Mapangala and Orchestra Virunga,African Classics,1981
Trois No\xc3\xabls qu\xc3\xa9b\xc3\xa8cois (trad): Gabriel,Catherine King/Matthew Schwinghammer/The American Boychoir,La bonne cuisine,1994
Cell (Album),Falling Into Place,Every Grave is a Garden,2001
Love Is All Around,Wet Wet Wet,Picture This,1994
Through the Looking Glass (jazz),Chris Standring,Soul Express,2006
General Chariot Corp. (LP Version),Bob Newhart,The Button-Down Mind On TV,1941
Ormh\xc3\xa4xan,Finntroll,Ur Jordens Djup,2007
bShe Dont Move Me No More,BB King,The Road from Itta Bena,1995
Wish (Album Version),Beautiful Creatures,Beautiful Creatures,2001
Markus s\xc3\xa5ng,Kent,B-sidor 95 - 00,1942
Alma Mater,Moonspell,Wolfheart (re-issue + Bonus Tracks),1995
Beauty And The Beast,Nightwish,Angels Fall First,1997
Police Story,Black Flag,Everything Went Black,1981
Knock Knock,Joe Lynn Turner,bNothings Changed [Original Recording Remastered],1956
The Lonesome Boatman,The Fureys,The Fureys Finest,1987
Never Alone,Walter Hawkins,Love Alive II,1978
Washes Over Me,Wamdue Project,Private Beach Club - By Afterlife,1959
bJunior Crehans Favourite - Corney Is Coming,Planxty,Planxty,1973
Dope Nose,Weezer,Maladroit,2002
Bob Your Head,RUN-DMC,Original Album Classics,1990
Love Lifted Me,Eddy Raven,That Good Old Gospel Music_ Volume 2,1974
It Could All Get Blown Away,The Jeff Healey Band,Legacy:Volume One,1992
Make it up,Anthony Cruz,Tsahai Riddim (aka Receive),2005
Le Roi A Fait Battre Tambour,Jacques Douai,Heritage - Maintenant Que La Jeunesse... - BAM (1968-1971),1965
Luo Cuo Che,Sammi Cheng,Sammi Vs Sammi 04 Concert CD,1991
Jag Vet En Dejlig Rosa,Thomas Battenstein,Guitaropa,1941
Hannikaisen baari,Hector,Hotelli Hannikainen,1994
bSloppy (I Saw My Baby Gettin),Devo,Q: Are We Not Men?  A: We Are Devo / Devo Live,1978
bReminissin,Geiom Feat. Marita,The Sound of Dubstep,1964
Caseta del Plater,Pep Laguarda & Tapineria,bBrossa Dahir,1963
bCajun Honey (Cajun Lovin Style),Rod Bernard,Voices Of Americana: Rod Bernard,1988
Play The Part,Eyes Set to Kill,Broken Frames,2010
Many Are We,Keep Of Kalessin,Armada,2006
2 People,Ann Lee,2 People,1976
Fading Lady Light,Jefferson Starship,Original Album Classics,1938
The Croppy Boy,The Irish Tenors,Live From Ellis Island,2001
bIts Good To Know Jesus,Mississippi Mass Choir,God Gets The Glory,2003
South Bound Water,Lonnie Johnson,Lonnie Johnson Vol. 2  (1926 - 1927),1972
Tripping Billies,DAVE MATTHEWS BAND,Live At Red Rocks 8.15.95,1993
Valerie,Amy Winehouse,ESSENTIAL 08,2007
O For a Thousand Tongues,Glad,Acapella Project Vol. 1,1999
The Very Conscious,The Antripodean Collective,The Massacre of the Egos,1991
November Has Come,Gorillaz,Demon Days,2005
Things You Do To Me,Martin Sexton,Live Wide Open,2000
bIt Aint What It Seems,Pat Travers,Putting It Straight,2002
Given Up (Album Version),Linkin Park,Minutes To Midnight,2007
Back A Yard,The In Crowd,His Majesty Is Coming,1979
1er Gaou,Magic Systeme,bIvoir Compil_ Vol. 4,1997
bImma Break It Down,Eazy-E,Eazy Duz It,1988
Ja Nun Hons Pris,Bryan Ferry,Frantic,2002
Je suis le passeur du printemps,Jean Lumi\xc3\xa8re,bThe Greatest Hits from 40s and 50s_ Vol. 8,2000
Chumpman Blues,Scott Ainslie,Terraplane,2005
Bull Dog,The Shangri-Las,The Very Best Of The Shangri-Las,1964
My M.B. Thang,Tyree,bJackd Volume 1,1979
Como Nuestro Amor No Hay Dos,Cabas,Amores Dif\xc3\xadciles,2008
Russian Doll,Flink,Moog,1979
bI Cant Believe That Youre In Love With Me (Digitally Remastered 95),The John Buzon Trio,Ultra-Lounge / Mambo Fever  Volume Two,1989
bCome Live With Me (12 Extended Version) (2006 Digital Remaster),Heaven 17,The Luxury Gap,1983
Big Legged Woman,Robert Lockwood_ Jr.,I Got To Find Me A Woman,1998
Forr\xc3\xb3 Praieiro,Sivuca,Sivuca - Enfim Solo,2009
Pick Me Up On Your Way Down - Original,Charlie Walker,bCharlie Walkers T For Texas,1981
Schauet Her!,Der Plan,Die Letzte Rache (+Bonus),1983
Shenandoah,The Statler Brothers,Flowers On The Wall:  The Essential Statler Brothers 1964-1969,1967
Ich bleib so wie ich bin,Eko Fresh feat. Ado,Ekaveli,2007
Beloki,Peloton,Selected Recordings,1943
Brightess night,Wilks,Brightess night,2005
bDunns Revenge,Paul Buckmaster,Most Wanted,1978
My Own Way,Evolution,bLapparenza,1956
Y.O.U. (Album Version),Lonestar,Party Heard Around The World,1952
The Interrogation,Paul Buckmaster,Most Wanted,2008
bIts Four In The Morning,Faron Young,30 Of His Best,1986
Joy to the World,The Jordanaires & Orion,Christmas To Elvis from The Jordanaires,1930
Cuatro Estrofas,Sandra Mihanovich,Creciendo,1994
Le Chat du Caf\xc3\xa9 des Artistes,Charlotte Gainsbourg,IRM,2009
Background Music: The Greatest Ever Punk Sing-Along! (Live),The Prefects,Live In 1978 At The Festival Suite_ Birmingham Co-op,1989
Song Without End,Paul Avgerinos,Words Touch,2004
Show Me (Acoustic Version),Seal,The Acoustic Session,1951
6TH Avenue Nightmare,Pennywise,The Fuse,2005
Give It Up Or Let Me Go,Dixie Chicks,Wide Open Spaces,1998
Climax (Instrumental Mix),Slum Village,Fantastic Vol. 2.10,1983
BOMB SQUAD,Bomb Squad,Channel U,1949
Supermassive Black Hole (Album Version),Muse,Supermassive Black Hole,1969
Theme From the Victors,Frank Chacksfield,Windsor Strings,1963
Na Primeira Manh\xc3\xa3,Alceu Valen\xc3\xa7a,Ao Vivo Em Todos Os Sentidos,1997
O.T. (Skit),bCamRon,Purple Haze,2004
Wildflower,Bon Jovi,Have A Nice Day,2005
Change Your Mind,KMD,KMD And The Rave,2001
Wartime Blues,Blind Lemon Jefferson,King Of The Country Blues,1927
Only You,Nana Mouskouri,Songs For You,1997
La Fruta Bomba,Fruko Y Sus Tesos,Fruko Power Salsa,2000
Dolores,The Merry Macs,Classic Years of The Merry Macs,1930
World Destruction (2005 Digital Remaster),Time Zone,The Best Of British,1947
Alma De Metal,Bobby Pulido,El Cazador,1999
Beautiful Lies,Eddie,No Control,1950
bDannys All-Star Joint (LP Version),Rickie Lee Jones,Rickie Lee Jones,1979
From the Gardner Meditations: African Tarantella,Stefon Harris,African Tarantella,2006
Werther - Lyric Drama in four Acts/Act III/Toute mon \xc3\xa2me est l\xc3\xa0,Ram\xc3\xb3n Vargas;Vesselina Kasarova;Vladimir Jurowski,Massenet: Werther,1977
Miesten t\xc3\xa4hden,Rauni Pekkala,20 suosikkia / Toiveiskelmi\xc3\xa4 3 / Virran viem\xc3\xa4\xc3\xa4,1994
Song For Paul,Alex Gopher,Alex Gopher (Versailles Special Edition),2007
Girl Tonite (featuring Trey Songz)  (Explicit Chopped & Screwed Version),Twista,The Day After,2005
Thrill Me,Simply Red,Stars [Expanded],1991
Covered (The Beauty Of Simplicity Album Version),Telecast,The Beauty of Simplicity,1944
Charly (Trip Into Drum And Bass Version) (Remastered),The Prodigy,Experience: Expanded (Remastered),1982
bId Rather Have Jesus,Loretta Lynn,The Gospel Spirit,1965
Toby,The Chi Lites,Nothing Lasts For Ever,1974
Yearning Just For You,Bob Wills,For The Last Time,1993
Canci\xc3\xb3n De T\xc3\xadteres,Mar\xc3\xada Elena Walsh,Todos Cantamos Con Maria Elena,1941
bDont Know How To Be,God Lives Underwater,Empty,1995
Merry-Go-Runaround,Bob Hope,Thanks For The Memory,2003
Sincerely,Don & Juan,Don & Juan,1972
Althea Cooley,Mack and Jamie,Extreme Channel Surfing,1994
bIm Back,Eminem,The Marshall Mathers LP,2000
ONE WAY LOVE,An Cafe,Goku Tama Rock Cafe,2009
bDevils Daughter,Eric Burdon,Soldier Of Fortune,1988
Tabernacle Song,Fake Problems,bIts Great To Be Alive,2009
Anfang Vom Ende,Pyranja,Wurzeln & Fl\xc3\xbcgel,2003
Forgive Me (High Key-Premiere Performance Plus),Steve Green,Forgive Me (Premiere Performance Plus Track),1964
bIll Pray For You,The Perrys,Absolutely Positively Live,1960
El Mar No Cesa (Live),H\xc3\xa9roes del Silencio,bSenda 91,1991
bIm Gonna Take My Time,Anthony Watson,I Love Being Single,1938
Amaze,Jimmy Riley,Pleasure Island 2001,1935
2 Fists Full Of Nothing,Bruisers,Cruising For A Bruising,1964
(You\re) Timeless To Me (Hairspray),John Travolta / Christopher Walken,Hairspray,1963
In My Heart,Paul Avgerinos,Words Touch,2004
Collides With Beauty,ATB,No Silence,2004
Cien Anos,Selena,Mis Primeros Exitos - Selena 20 Years Of Music,1978
Dig Up Her Bones,The Misfits,American Psycho,1997
A Little Of You,Eurythmics,Revenge,1986
